Emp_ID,Name,Department,Salary
71,Meena_71,Operations,81000
72,Ravi_72,Admin,71000
73,Suresh_73,IT,39000
74,Kavya_74,HR,68000
75,Anu_75,Finance,37000
76,Deepak_76,Sales,71000
77,Manoj_77,Marketing,81000
78,Keerthi_78,Support,42000
79,Ajay_79,Operations,90000
80,Sneha_80,Admin,70000
81,Rohit_81,IT,40000
82,Pooja_82,HR,60000
83,Varun_83,Finance,75000
84,Swetha_84,Sales,76000
85,Bharath_85,Marketing,85000
86,Dinesh_86,Support,61000
87,Ramesh_87,Operations,60000
88,Saranya_88,Admin,88000
89,Gokul_89,IT,80000
90,Preethi_90,HR,36000
91,Aakash_91,Finance,73000
92,Rahul_92,Sales,53000
93,Priya_93,Marketing,39000
94,John_94,Support,77000
95,Arun_95,Operations,55000
96,Divya_96,Admin,40000
97,Karan_97,IT,56000
98,Nisha_98,HR,47000
99,Vijay_99,Finance,85000
100,Harish_100,Sales,40000
101,Meena_101,Marketing,82000
102,Ravi_102,Support,60000
103,Suresh_103,Operations,65000
104,Kavya_104,Admin,79000
105,Anu_105,IT,69000
106,Deepak_106,HR,61000
107,Manoj_107,Finance,53000
108,Keerthi_108,Sales,86000
109,Ajay_109,Marketing,44000
110,Sneha_110,Support,77000
111,Rohit_111,Operations,44000
112,Pooja_112,Admin,36000
113,Varun_113,IT,56000
114,Swetha_114,HR,69000
115,Bharath_115,Finance,89000
116,Dinesh_116,Sales,63000
117,Ramesh_117,Marketing,58000
118,Saranya_118,Support,60000
119,Gokul_119,Operations,66000
120,Preethi_120,Admin,87000
201,Divya_201,Finance,38000
202,Karan_202,Sales,49000
203,Nisha_203,Marketing,62000
204,Vijay_204,Support,70000
205,Harish_205,Operations,76000
206,Meena_206,Admin,79000
207,Ravi_207,IT,55000
208,Suresh_208,HR,83000
209,Kavya_209,Finance,47000
210,Anu_210,Sales,76000
211,Deepak_211,Marketing,35000
212,Manoj_212,Support,37000
213,Keerthi_213,Operations,62000
214,Ajay_214,Admin,47000
215,Sneha_215,IT,82000
216,Rohit_216,HR,40000
217,Pooja_217,Finance,43000
218,Varun_218,Sales,58000
219,Swetha_219,Marketing,78000
220,Bharath_220,Support,47000
221,Dinesh_221,Operations,58000
222,Ramesh_222,Admin,37000
223,Saranya_223,IT,81000
224,Gokul_224,HR,46000
225,Preethi_225,Finance,82000
226,Aakash_226,Sales,54000
227,Rahul_227,Marketing,75000
228,Priya_228,Support,43000
229,John_229,Operations,77000
230,Arun_230,Admin,39000
231,Divya_231,IT,85000
232,Karan_232,HR,56000
233,Nisha_233,Finance,47000
234,Vijay_234,Sales,43000
235,Harish_235,Marketing,81000
236,Meena_236,Support,58000
237,Ravi_237,Operations,53000
238,Suresh_238,Admin,70000
239,Kavya_239,IT,58000
240,Anu_240,HR,49000
241,Deepak_241,Finance,57000
242,Manoj_242,Sales,76000
243,Keerthi_243,Marketing,46000
244,Ajay_244,Support,89000
245,Sneha_245,Operations,56000
246,Rohit_246,Admin,63000
247,Pooja_247,IT,51000
248,Varun_248,HR,82000
249,Swetha_249,Finance,85000
250,Bharath_250,Sales,83000
251,Dinesh_251,Marketing,36000
252,Ramesh_252,Support,56000
253,Saranya_253,Operations,89000
254,Gokul_254,Admin,84000
255,Preethi_255,IT,85000
256,Aakash_256,HR,68000
257,Rahul_257,Finance,56000
258,Priya_258,Sales,89000
259,John_259,Marketing,71000
260,Arun_260,Support,50000
261,Divya_261,Operations,58000
262,Karan_262,Admin,71000
263,Nisha_263,IT,51000
264,Vijay_264,HR,71000
265,Harish_265,Finance,55000
266,Meena_266,Sales,66000
267,Ravi_267,Marketing,65000
268,Suresh_268,Support,44000
269,Kavya_269,Operations,52000
270,Anu_270,Admin,79000
271,Deepak_271,IT,45000
272,Manoj_272,HR,70000
273,Keerthi_273,Finance,63000
274,Ajay_274,Sales,52000
275,Sneha_275,Marketing,41000
276,Rohit_276,Support,61000
277,Pooja_277,Operations,54000
278,Varun_278,Admin,87000
279,Swetha_279,IT,38000
280,Bharath_280,HR,87000
